source,destination,day_of_week,time_slot,is_weekend,crowd_level
Pune,Chinchwad,Monday,16:00,0,Medium
Pune,Chinchwad,Monday,22:00,0,Low
Shivajinagar,Pune,Wednesday,13:00,0,Low
Shivajinagar,Chinchwad,Tuesday,22:00,0,Low
Chinchwad,Pimpri,Saturday,19:00,1,Medium
Pimpri,Pune,Wednesday,03:00,0,Low
Chinchwad,Pune,Friday,11:00,0,Medium
Shivajinagar,Chinchwad,Saturday,15:00,1,Medium
Pune,Pimpri,Tuesday,18:00,0,High
Pune,Pimpri,Tuesday,14:00,0,Medium
Pune,Shivajinagar,Tuesday,00:00,0,Low
Shivajinagar,Chinchwad,Saturday,15:00,1,Low
Shivajinagar,Pimpri,Wednesday,18:00,0,Medium
Shivajinagar,Pimpri,Monday,20:00,0,High
Pimpri,Chinchwad,Tuesday,05:00,0,Low
Pimpri,Pune,Thursday,11:00,0,Medium
Pune,Pimpri,Friday,17:00,0,High
Pimpri,Chinchwad,Thursday,15:00,0,Medium
Pimpri,Shivajinagar,Sunday,23:00,1,Low
Shivajinagar,Chinchwad,Saturday,07:00,1,Low
Chinchwad,Shivajinagar,Thursday,15:00,0,Medium
Pimpri,Chinchwad,Wednesday,17:00,0,High
Chinchwad,Pune,Monday,01:00,0,Low
Pimpri,Pune,Saturday,06:00,1,Low
Shivajinagar,Pune,Friday,13:00,0,Medium
Chinchwad,Pune,Friday,18:00,0,High
Pune,Chinchwad,Sunday,07:00,1,Low
Pimpri,Shivajinagar,Wednesday,03:00,0,Low
Pimpri,Shivajinagar,Monday,13:00,0,Medium
Pimpri,Chinchwad,Tuesday,20:00,0,High
Shivajinagar,Pune,Wednesday,08:00,0,High
Chinchwad,Pimpri,Friday,06:00,0,Low
Shivajinagar,Chinchwad,Monday,02:00,0,Low
Chinchwad,Pune,Tuesday,12:00,0,Low
Chinchwad,Pimpri,Saturday,00:00,1,Low
Shivajinagar,Chinchwad,Sunday,13:00,1,Medium
Pimpri,Shivajinagar,Monday,13:00,0,Medium
Chinchwad,Pimpri,Monday,19:00,0,High
Pimpri,Pune,Monday,17:00,0,High
Pimpri,Pune,Sunday,09:00,1,Low
Pimpri,Pune,Saturday,17:00,1,Medium
Chinchwad,Pune,Monday,13:00,0,Medium
Pimpri,Pune,Tuesday,02:00,0,Low
Shivajinagar,Pimpri,Saturday,20:00,1,Low
Chinchwad,Shivajinagar,Monday,17:00,0,High
Chinchwad,Pune,Sunday,07:00,1,Low
Chinchwad,Shivajinagar,Sunday,21:00,1,Low
Pune,Shivajinagar,Monday,01:00,0,Low
Pimpri,Chinchwad,Wednesday,15:00,0,Medium
Shivajinagar,Pimpri,Sunday,22:00,1,Low
Pune,Pimpri,Thursday,03:00,0,Low
Pune,Shivajinagar,Monday,03:00,0,Low
Shivajinagar,Pune,Wednesday,12:00,0,Low
Pune,Chinchwad,Sunday,17:00,1,Low
Chinchwad,Pimpri,Friday,08:00,0,High
Shivajinagar,Chinchwad,Wednesday,22:00,0,Low
Pimpri,Chinchwad,Monday,20:00,0,High
Pimpri,Chinchwad,Saturday,08:00,1,Low
Pune,Shivajinagar,Friday,09:00,0,High
Pune,Chinchwad,Saturday,00:00,1,Low
Pune,Pimpri,Wednesday,20:00,0,High
Pune,Chinchwad,Thursday,02:00,0,Low
Shivajinagar,Pimpri,Saturday,17:00,1,Medium
Pune,Pimpri,Thursday,13:00,0,Medium
Chinchwad,Pimpri,Wednesday,20:00,0,High
Pimpri,Chinchwad,Friday,21:00,0,Low
Pune,Chinchwad,Tuesday,21:00,0,Low
Pimpri,Chinchwad,Sunday,16:00,1,Low
Chinchwad,Pimpri,Sunday,11:00,1,Medium
Shivajinagar,Pimpri,Sunday,22:00,1,Low
Pune,Shivajinagar,Friday,08:00,0,High
Chinchwad,Pune,Tuesday,19:00,0,Medium
Pune,Shivajinagar,Wednesday,05:00,0,Low
Pimpri,Shivajinagar,Monday,02:00,0,Low
Shivajinagar,Pune,Friday,12:00,0,Medium
Shivajinagar,Pimpri,Tuesday,21:00,0,Low
Pune,Shivajinagar,Tuesday,03:00,0,Medium
Pimpri,Pune,Sunday,00:00,1,Low
Chinchwad,Pimpri,Sunday,10:00,1,Low
Pimpri,Chinchwad,Friday,11:00,0,Low
Pimpri,Shivajinagar,Monday,05:00,0,Medium
Shivajinagar,Chinchwad,Wednesday,15:00,0,High
Chinchwad,Pune,Tuesday,01:00,0,Low
Shivajinagar,Chinchwad,Monday,00:00,0,Low
Chinchwad,Shivajinagar,Wednesday,06:00,0,Low
Pune,Chinchwad,Tuesday,14:00,0,Medium
Chinchwad,Pune,Saturday,12:00,1,Medium
Shivajinagar,Chinchwad,Wednesday,15:00,0,Medium
Chinchwad,Pune,Sunday,18:00,1,Medium
Shivajinagar,Pune,Thursday,21:00,0,Low
Pune,Pimpri,Wednesday,21:00,0,Low
Chinchwad,Pimpri,Saturday,05:00,1,Low
Chinchwad,Pimpri,Sunday,22:00,1,Low
Shivajinagar,Pune,Thursday,20:00,0,High
Pune,Shivajinagar,Tuesday,13:00,0,Medium
Pune,Pimpri,Thursday,02:00,0,Low
Pimpri,Chinchwad,Tuesday,07:00,0,Low
Pune,Chinchwad,Tuesday,07:00,0,Low
Shivajinagar,Pune,Thursday,22:00,0,Low
Pune,Shivajinagar,Friday,15:00,0,Medium
Shivajinagar,Chinchwad,Thursday,05:00,0,Low
Pimpri,Chinchwad,Sunday,00:00,1,Low
Shivajinagar,Pimpri,Saturday,12:00,1,Medium
Pune,Shivajinagar,Sunday,01:00,1,Low
Shivajinagar,Pimpri,Friday,04:00,0,Low
Shivajinagar,Chinchwad,Thursday,14:00,0,Medium
Chinchwad,Shivajinagar,Tuesday,10:00,0,Medium
Pimpri,Shivajinagar,Sunday,22:00,1,Low
Chinchwad,Pimpri,Tuesday,05:00,0,Low
Pimpri,Shivajinagar,Sunday,15:00,1,Medium
Pimpri,Chinchwad,Thursday,22:00,0,Low
Pimpri,Pune,Wednesday,14:00,0,Medium
Pune,Shivajinagar,Sunday,21:00,1,Low
Chinchwad,Pune,Sunday,04:00,1,Low
Chinchwad,Shivajinagar,Wednesday,06:00,0,Low
Shivajinagar,Pune,Tuesday,10:00,0,High
Pune,Chinchwad,Saturday,23:00,1,Low
Pune,Chinchwad,Monday,06:00,0,Low
Shivajinagar,Pimpri,Wednesday,04:00,0,Low
Pimpri,Pune,Sunday,22:00,1,Low
Pune,Chinchwad,Tuesday,02:00,0,Low
Pimpri,Shivajinagar,Friday,21:00,0,Low
Pimpri,Chinchwad,Sunday,12:00,1,Medium
Pimpri,Pune,Sunday,14:00,1,Medium
Chinchwad,Pune,Monday,23:00,0,Low
Pimpri,Pune,Tuesday,15:00,0,Medium
Pimpri,Shivajinagar,Sunday,02:00,1,Low
Chinchwad,Pimpri,Tuesday,16:00,0,Medium
Pimpri,Pune,Saturday,11:00,1,Medium
Pimpri,Shivajinagar,Sunday,21:00,1,Low
Pimpri,Shivajinagar,Friday,21:00,0,Low
Pimpri,Pune,Tuesday,11:00,0,Medium
Pune,Pimpri,Saturday,09:00,1,Low
Pune,Pimpri,Wednesday,18:00,0,High
Chinchwad,Shivajinagar,Thursday,18:00,0,High
Pimpri,Pune,Saturday,23:00,1,Low
Shivajinagar,Pimpri,Tuesday,22:00,0,Low
Shivajinagar,Pune,Wednesday,14:00,0,Medium
Shivajinagar,Pune,Monday,01:00,0,Low
Pune,Chinchwad,Wednesday,05:00,0,Medium
Pune,Shivajinagar,Saturday,22:00,1,Low
Pimpri,Chinchwad,Wednesday,03:00,0,Low
Pune,Chinchwad,Wednesday,15:00,0,Low
Pune,Shivajinagar,Tuesday,15:00,0,High
Pune,Shivajinagar,Thursday,16:00,0,Low
Pune,Chinchwad,Saturday,23:00,1,Low
Shivajinagar,Chinchwad,Thursday,16:00,0,Medium
Pimpri,Shivajinagar,Tuesday,21:00,0,Low
Pimpri,Shivajinagar,Friday,20:00,0,High
Pimpri,Pune,Thursday,19:00,0,High
Pune,Shivajinagar,Friday,06:00,0,Low
Pune,Shivajinagar,Sunday,04:00,1,Low
Shivajinagar,Pune,Thursday,23:00,0,Low
Chinchwad,Shivajinagar,Saturday,11:00,1,Medium
Pimpri,Shivajinagar,Sunday,05:00,1,Low
Chinchwad,Shivajinagar,Thursday,09:00,0,High
Chinchwad,Pimpri,Wednesday,11:00,0,Medium
Chinchwad,Shivajinagar,Monday,09:00,0,High
Shivajinagar,Chinchwad,Saturday,06:00,1,Low
Pimpri,Chinchwad,Wednesday,19:00,0,High
Shivajinagar,Chinchwad,Friday,09:00,0,High
Shivajinagar,Pune,Monday,02:00,0,Low
Chinchwad,Shivajinagar,Tuesday,19:00,0,High
Shivajinagar,Chinchwad,Tuesday,01:00,0,Medium
Chinchwad,Pimpri,Saturday,11:00,1,Medium
Pimpri,Chinchwad,Friday,21:00,0,Medium
Chinchwad,Pimpri,Wednesday,17:00,0,High
Chinchwad,Pune,Friday,17:00,0,High
Pune,Chinchwad,Monday,11:00,0,Medium
Chinchwad,Pimpri,Monday,10:00,0,Medium
Chinchwad,Pimpri,Tuesday,17:00,0,High
Chinchwad,Pimpri,Sunday,12:00,1,Low
Pimpri,Chinchwad,Wednesday,02:00,0,Low
Chinchwad,Pune,Friday,02:00,0,Low
Shivajinagar,Pimpri,Monday,17:00,0,High
Pimpri,Shivajinagar,Tuesday,04:00,0,Low
Pimpri,Shivajinagar,Friday,22:00,0,Low
Shivajinagar,Pune,Sunday,19:00,1,Medium
Chinchwad,Shivajinagar,Wednesday,22:00,0,Low
Chinchwad,Pimpri,Wednesday,07:00,0,Low
Pimpri,Chinchwad,Sunday,20:00,1,Low
Pune,Shivajinagar,Monday,04:00,0,Low
Shivajinagar,Pimpri,Friday,10:00,0,High
Pimpri,Chinchwad,Wednesday,16:00,0,Medium
Shivajinagar,Chinchwad,Sunday,07:00,1,Low
Pune,Shivajinagar,Tuesday,19:00,0,High
Pune,Shivajinagar,Wednesday,20:00,0,High
Chinchwad,Shivajinagar,Tuesday,22:00,0,Low
Pune,Pimpri,Thursday,15:00,0,Medium
Chinchwad,Shivajinagar,Tuesday,16:00,0,Low
Chinchwad,Pune,Tuesday,05:00,0,Low
Pimpri,Chinchwad,Sunday,04:00,1,Low
Pune,Chinchwad,Sunday,08:00,1,Low
Pune,Shivajinagar,Monday,10:00,0,High
Shivajinagar,Pune,Sunday,14:00,1,Medium
Shivajinagar,Pune,Monday,20:00,0,Medium
Pune,Shivajinagar,Tuesday,02:00,0,Low
Chinchwad,Pimpri,Friday,20:00,0,High
Pimpri,Pune,Saturday,12:00,1,Medium
Shivajinagar,Pune,Saturday,05:00,1,Low
Shivajinagar,Chinchwad,Thursday,06:00,0,Low
Pune,Shivajinagar,Saturday,18:00,1,Medium
Shivajinagar,Pimpri,Wednesday,07:00,0,Low
Pune,Pimpri,Wednesday,10:00,0,High
Chinchwad,Pimpri,Saturday,14:00,1,Medium
Pimpri,Chinchwad,Thursday,12:00,0,Medium
Shivajinagar,Pune,Sunday,18:00,1,Medium
Chinchwad,Shivajinagar,Thursday,11:00,0,Medium
Pimpri,Pune,Saturday,13:00,1,Medium
Shivajinagar,Chinchwad,Wednesday,14:00,0,Low
Pimpri,Chinchwad,Friday,16:00,0,Medium
Chinchwad,Shivajinagar,Monday,05:00,0,Low
Shivajinagar,Chinchwad,Wednesday,02:00,0,Medium
Shivajinagar,Pimpri,Wednesday,05:00,0,Low
Pimpri,Chinchwad,Wednesday,07:00,0,Low
Shivajinagar,Pimpri,Monday,14:00,0,Medium
Pune,Shivajinagar,Wednesday,21:00,0,Low
Pimpri,Shivajinagar,Wednesday,22:00,0,Low
Pune,Chinchwad,Wednesday,04:00,0,Low
Shivajinagar,Chinchwad,Sunday,13:00,1,Medium
Pimpri,Chinchwad,Saturday,14:00,1,Medium
Shivajinagar,Chinchwad,Wednesday,22:00,0,Low
Pune,Chinchwad,Thursday,16:00,0,Medium
Pune,Shivajinagar,Saturday,20:00,1,Low
Pune,Shivajinagar,Thursday,02:00,0,Low
Chinchwad,Pimpri,Thursday,17:00,0,Medium
Shivajinagar,Chinchwad,Thursday,18:00,0,High
Chinchwad,Pune,Sunday,19:00,1,Medium
Pune,Pimpri,Thursday,02:00,0,Low
Pimpri,Chinchwad,Friday,22:00,0,Low
Chinchwad,Pimpri,Thursday,23:00,0,Low
Pimpri,Pune,Monday,20:00,0,High
Pune,Pimpri,Friday,16:00,0,Medium
Pimpri,Shivajinagar,Monday,22:00,0,Low
Chinchwad,Shivajinagar,Wednesday,13:00,0,Medium
Shivajinagar,Pimpri,Thursday,04:00,0,Low
Pune,Pimpri,Saturday,17:00,1,Low
Shivajinagar,Chinchwad,Tuesday,05:00,0,Medium
Chinchwad,Pune,Monday,03:00,0,Low
Pune,Shivajinagar,Saturday,03:00,1,Low
Pimpri,Pune,Thursday,02:00,0,Low
Pimpri,Chinchwad,Thursday,23:00,0,Low
Chinchwad,Pune,Sunday,22:00,1,Low
Shivajinagar,Chinchwad,Thursday,16:00,0,Medium
Pune,Shivajinagar,Saturday,00:00,1,Low
Chinchwad,Pimpri,Friday,03:00,0,Low
Pimpri,Chinchwad,Monday,23:00,0,Low
Chinchwad,Shivajinagar,Tuesday,17:00,0,High
Shivajinagar,Chinchwad,Friday,12:00,0,Medium
Pimpri,Chinchwad,Monday,20:00,0,High
Chinchwad,Pimpri,Sunday,18:00,1,Medium
Pimpri,Pune,Friday,08:00,0,High
Pimpri,Pune,Tuesday,23:00,0,Low
Pune,Shivajinagar,Friday,03:00,0,Low
Pimpri,Shivajinagar,Saturday,14:00,1,Medium
Shivajinagar,Pune,Saturday,03:00,1,Low
Pimpri,Shivajinagar,Friday,12:00,0,Medium
Pimpri,Shivajinagar,Tuesday,11:00,0,Medium
Pimpri,Shivajinagar,Thursday,13:00,0,Medium
Pimpri,Pune,Thursday,00:00,0,Low
Pimpri,Pune,Monday,11:00,0,Medium
Pimpri,Shivajinagar,Monday,10:00,0,High
Pune,Pimpri,Friday,23:00,0,Low
Shivajinagar,Pune,Wednesday,17:00,0,Medium
Shivajinagar,Chinchwad,Wednesday,18:00,0,High
Pune,Chinchwad,Monday,02:00,0,Low
Pune,Pimpri,Saturday,08:00,1,Low
Pimpri,Shivajinagar,Sunday,21:00,1,Low
Chinchwad,Pune,Thursday,01:00,0,Low
Pimpri,Pune,Friday,21:00,0,Low
Pune,Shivajinagar,Thursday,02:00,0,Medium
Chinchwad,Pimpri,Saturday,05:00,1,Low
Pune,Shivajinagar,Saturday,18:00,1,Low
Shivajinagar,Chinchwad,Monday,08:00,0,High
Pune,Pimpri,Wednesday,18:00,0,High
Chinchwad,Shivajinagar,Sunday,06:00,1,Low
Pune,Shivajinagar,Tuesday,12:00,0,Medium
Chinchwad,Shivajinagar,Wednesday,02:00,0,Low
Pune,Pimpri,Wednesday,15:00,0,Low
Pune,Shivajinagar,Friday,17:00,0,High
Pune,Pimpri,Friday,04:00,0,Low
Shivajinagar,Chinchwad,Wednesday,11:00,0,High
Chinchwad,Pimpri,Tuesday,15:00,0,Medium
Shivajinagar,Pimpri,Sunday,22:00,1,Low
Shivajinagar,Chinchwad,Tuesday,19:00,0,High
Shivajinagar,Pune,Thursday,15:00,0,Medium
Chinchwad,Shivajinagar,Saturday,01:00,1,Low
Pune,Chinchwad,Tuesday,01:00,0,Low
Chinchwad,Pune,Friday,10:00,0,High
Shivajinagar,Chinchwad,Sunday,10:00,1,Low
Pimpri,Shivajinagar,Sunday,20:00,1,Low
Chinchwad,Pimpri,Tuesday,22:00,0,Low
Shivajinagar,Pimpri,Tuesday,09:00,0,High
Shivajinagar,Pune,Sunday,19:00,1,Medium
Chinchwad,Pimpri,Thursday,22:00,0,Low
Shivajinagar,Pune,Saturday,20:00,1,Low
Shivajinagar,Pimpri,Wednesday,05:00,0,Low
Pune,Pimpri,Sunday,13:00,1,Medium
Pune,Pimpri,Wednesday,10:00,0,High
Pimpri,Pune,Saturday,15:00,1,Medium
Shivajinagar,Pune,Tuesday,17:00,0,High
Chinchwad,Shivajinagar,Monday,20:00,0,Medium
Chinchwad,Shivajinagar,Friday,09:00,0,High
Pune,Chinchwad,Saturday,01:00,1,Medium
Shivajinagar,Chinchwad,Friday,23:00,0,Medium
Pimpri,Chinchwad,Sunday,00:00,1,Low
Chinchwad,Shivajinagar,Friday,01:00,0,Low
Shivajinagar,Chinchwad,Friday,17:00,0,High
Shivajinagar,Pune,Saturday,03:00,1,Low
Shivajinagar,Chinchwad,Monday,10:00,0,High
Pimpri,Shivajinagar,Monday,08:00,0,High
Pune,Chinchwad,Monday,01:00,0,Low
Shivajinagar,Chinchwad,Friday,04:00,0,Low
Pune,Chinchwad,Monday,14:00,0,Medium
Pimpri,Shivajinagar,Friday,05:00,0,Low
Pimpri,Pune,Saturday,09:00,1,Low
Shivajinagar,Chinchwad,Tuesday,04:00,0,Low
Pimpri,Shivajinagar,Saturday,01:00,1,Low
Chinchwad,Shivajinagar,Sunday,22:00,1,Medium
Pune,Chinchwad,Saturday,20:00,1,Low
Pune,Shivajinagar,Wednesday,02:00,0,Low
Pimpri,Chinchwad,Friday,23:00,0,Low
Pune,Shivajinagar,Thursday,12:00,0,Medium
Pune,Pimpri,Tuesday,11:00,0,Medium
Shivajinagar,Pimpri,Friday,19:00,0,Medium
Pimpri,Shivajinagar,Wednesday,10:00,0,High
Pimpri,Pune,Friday,11:00,0,Medium
Pune,Shivajinagar,Friday,20:00,0,High
Pimpri,Chinchwad,Thursday,04:00,0,Low
Pimpri,Shivajinagar,Sunday,21:00,1,Low
Chinchwad,Pune,Monday,10:00,0,High
Shivajinagar,Chinchwad,Sunday,08:00,1,Low
Pimpri,Chinchwad,Sunday,05:00,1,Low
Pune,Pimpri,Monday,05:00,0,Low
Chinchwad,Pune,Thursday,02:00,0,Low
Pimpri,Shivajinagar,Tuesday,18:00,0,High
Shivajinagar,Pimpri,Tuesday,08:00,0,High
Pune,Pimpri,Thursday,12:00,0,Medium
Pune,Chinchwad,Thursday,00:00,0,Medium
Pune,Chinchwad,Monday,10:00,0,High
Chinchwad,Shivajinagar,Tuesday,08:00,0,High
Shivajinagar,Chinchwad,Tuesday,17:00,0,High
Pimpri,Pune,Monday,15:00,0,Medium
Pimpri,Chinchwad,Monday,13:00,0,Medium
Pimpri,Shivajinagar,Wednesday,07:00,0,Low
Shivajinagar,Pimpri,Tuesday,06:00,0,Low
Pune,Chinchwad,Thursday,18:00,0,High
Pimpri,Chinchwad,Sunday,21:00,1,Low
Shivajinagar,Pune,Thursday,04:00,0,Low
Chinchwad,Pune,Wednesday,17:00,0,High
Pimpri,Shivajinagar,Sunday,14:00,1,Low
Chinchwad,Shivajinagar,Monday,08:00,0,High
Shivajinagar,Pune,Saturday,20:00,1,Low
Pune,Shivajinagar,Monday,14:00,0,Medium
Pune,Pimpri,Monday,15:00,0,Low
Pune,Pimpri,Wednesday,13:00,0,Medium
Shivajinagar,Pune,Wednesday,11:00,0,Medium
Chinchwad,Pune,Monday,04:00,0,Low
Pune,Pimpri,Monday,02:00,0,Low
Shivajinagar,Pimpri,Monday,23:00,0,Low
Chinchwad,Shivajinagar,Friday,15:00,0,Medium
Pimpri,Pune,Sunday,16:00,1,Low
Pimpri,Chinchwad,Thursday,18:00,0,High
Pimpri,Pune,Sunday,14:00,1,Medium
Shivajinagar,Pune,Saturday,11:00,1,Low
Shivajinagar,Chinchwad,Tuesday,05:00,0,Low
Chinchwad,Shivajinagar,Wednesday,08:00,0,Medium
Shivajinagar,Chinchwad,Saturday,23:00,1,Low
Chinchwad,Shivajinagar,Friday,16:00,0,Medium
Pimpri,Pune,Sunday,23:00,1,Low
Pune,Pimpri,Sunday,22:00,1,Low
Shivajinagar,Pimpri,Friday,04:00,0,Low
Pimpri,Shivajinagar,Saturday,09:00,1,Low
Chinchwad,Pune,Friday,14:00,0,Medium
Shivajinagar,Pimpri,Thursday,05:00,0,Low
Chinchwad,Pimpri,Saturday,19:00,1,Low
Chinchwad,Pune,Friday,09:00,0,High
Shivajinagar,Pune,Tuesday,05:00,0,Low
Pimpri,Chinchwad,Thursday,11:00,0,Medium
Pune,Chinchwad,Friday,05:00,0,Low
Pune,Shivajinagar,Wednesday,01:00,0,Low
Chinchwad,Shivajinagar,Tuesday,00:00,0,Low
Chinchwad,Pune,Thursday,11:00,0,Medium
Chinchwad,Pune,Wednesday,12:00,0,Medium
Pimpri,Chinchwad,Tuesday,00:00,0,Low
Pune,Pimpri,Sunday,07:00,1,Low
Chinchwad,Shivajinagar,Tuesday,11:00,0,Medium
Pimpri,Pune,Friday,08:00,0,High
Pune,Chinchwad,Wednesday,11:00,0,Medium
Chinchwad,Pimpri,Friday,19:00,0,High
Pune,Chinchwad,Tuesday,21:00,0,Low
Chinchwad,Shivajinagar,Saturday,09:00,1,Low
Shivajinagar,Pimpri,Wednesday,16:00,0,Medium
Pune,Pimpri,Saturday,18:00,1,Low
Pune,Pimpri,Tuesday,21:00,0,Low
Pimpri,Chinchwad,Thursday,23:00,0,Low
Pimpri,Chinchwad,Thursday,06:00,0,Low
Pune,Chinchwad,Sunday,18:00,1,Medium
Pune,Shivajinagar,Thursday,15:00,0,Medium
Chinchwad,Pune,Friday,05:00,0,Low
Shivajinagar,Pimpri,Sunday,11:00,1,Medium
Shivajinagar,Chinchwad,Friday,01:00,0,Low
Chinchwad,Shivajinagar,Wednesday,13:00,0,Medium
Shivajinagar,Chinchwad,Tuesday,21:00,0,Low
Chinchwad,Pune,Thursday,19:00,0,High
Shivajinagar,Pune,Thursday,00:00,0,Low
Pune,Pimpri,Monday,03:00,0,Low
Shivajinagar,Chinchwad,Saturday,04:00,1,Low
Pune,Pimpri,Thursday,02:00,0,Low
Shivajinagar,Pimpri,Friday,22:00,0,Low
Chinchwad,Pimpri,Monday,08:00,0,High
Pimpri,Pune,Thursday,16:00,0,Medium
Chinchwad,Pimpri,Sunday,02:00,1,Low
Shivajinagar,Pune,Saturday,09:00,1,Low
Pimpri,Pune,Monday,07:00,0,Low
Pimpri,Pune,Thursday,21:00,0,Low
Chinchwad,Pimpri,Wednesday,09:00,0,High
Chinchwad,Pune,Thursday,14:00,0,Medium
Chinchwad,Pune,Sunday,01:00,1,Low
Pimpri,Pune,Thursday,18:00,0,High
Shivajinagar,Pune,Sunday,00:00,1,Low
Pune,Shivajinagar,Tuesday,06:00,0,Medium
Shivajinagar,Pune,Thursday,10:00,0,High
Chinchwad,Pune,Wednesday,12:00,0,Medium
Chinchwad,Pimpri,Wednesday,21:00,0,Low
Shivajinagar,Chinchwad,Wednesday,17:00,0,Medium
Pimpri,Pune,Wednesday,17:00,0,High
Chinchwad,Pimpri,Wednesday,18:00,0,High
Chinchwad,Pimpri,Thursday,09:00,0,High
Pimpri,Chinchwad,Sunday,04:00,1,Low
Chinchwad,Pune,Thursday,13:00,0,Medium
Pimpri,Pune,Saturday,17:00,1,Medium
Shivajinagar,Pune,Friday,00:00,0,Low
Chinchwad,Pune,Tuesday,15:00,0,Medium
Pimpri,Chinchwad,Wednesday,08:00,0,Medium
Chinchwad,Pune,Sunday,08:00,1,Low
Shivajinagar,Chinchwad,Saturday,06:00,1,Low
Chinchwad,Pimpri,Thursday,23:00,0,Medium
Shivajinagar,Pimpri,Sunday,19:00,1,Medium
Pune,Chinchwad,Saturday,18:00,1,Low
Shivajinagar,Pune,Sunday,00:00,1,Low
Chinchwad,Shivajinagar,Wednesday,02:00,0,Low
Shivajinagar,Pune,Thursday,20:00,0,High
Pimpri,Pune,Monday,07:00,0,Low
Chinchwad,Pimpri,Monday,20:00,0,High
Pimpri,Pune,Monday,15:00,0,Medium
